STUDY_ID	SAMPLE_ID	MGMT
gbm_tcga_pan_can_atlas_2018	TCGA-19-2620-01	-0.7962
gbm_tcga_pan_can_atlas_2018	TCGA-19-2624-01	-0.1744
gbm_tcga_pan_can_atlas_2018	TCGA-19-2625-01	0.7535
gbm_tcga_pan_can_atlas_2018	TCGA-19-2629-01	1.0449
gbm_tcga_pan_can_atlas_2018	TCGA-19-4065-01	0.6377
gbm_tcga_pan_can_atlas_2018	TCGA-19-5960-01	-0.1732
gbm_tcga_pan_can_atlas_2018	TCGA-26-1442-01	-0.7762
gbm_tcga_pan_can_atlas_2018	TCGA-26-5132-01	-0.6943
gbm_tcga_pan_can_atlas_2018	TCGA-26-5133-01	0.7108
gbm_tcga_pan_can_atlas_2018	TCGA-26-5134-01	0.2125
gbm_tcga_pan_can_atlas_2018	TCGA-26-5135-01	0.3313
gbm_tcga_pan_can_atlas_2018	TCGA-26-5136-01	-1.0154
gbm_tcga_pan_can_atlas_2018	TCGA-26-5139-01	0.197
gbm_tcga_pan_can_atlas_2018	TCGA-27-1830-01	-0.0818
gbm_tcga_pan_can_atlas_2018	TCGA-27-1831-01	1.8879
gbm_tcga_pan_can_atlas_2018	TCGA-27-1832-01	1.0432
gbm_tcga_pan_can_atlas_2018	TCGA-27-1834-01	-1.1919
gbm_tcga_pan_can_atlas_2018	TCGA-27-1835-01	-1.6919
gbm_tcga_pan_can_atlas_2018	TCGA-27-1837-01	-1.2769
gbm_tcga_pan_can_atlas_2018	TCGA-27-2519-01	0.6304
gbm_tcga_pan_can_atlas_2018	TCGA-27-2521-01	-1.2878
gbm_tcga_pan_can_atlas_2018	TCGA-27-2523-01	-0.4147
gbm_tcga_pan_can_atlas_2018	TCGA-27-2524-01	1.4622
gbm_tcga_pan_can_atlas_2018	TCGA-27-2526-01	1.8102
gbm_tcga_pan_can_atlas_2018	TCGA-27-2528-01	0.9344
gbm_tcga_pan_can_atlas_2018	TCGA-28-1747-01	-0.7516
gbm_tcga_pan_can_atlas_2018	TCGA-28-1753-01	0.0567
gbm_tcga_pan_can_atlas_2018	TCGA-28-2509-01	-1.102
gbm_tcga_pan_can_atlas_2018	TCGA-28-2510-01	0.7651
gbm_tcga_pan_can_atlas_2018	TCGA-28-2513-01	0.8685
gbm_tcga_pan_can_atlas_2018	TCGA-28-2514-01	0.4703
gbm_tcga_pan_can_atlas_2018	TCGA-28-5204-01	0.6687
gbm_tcga_pan_can_atlas_2018	TCGA-28-5207-01	0.7959
gbm_tcga_pan_can_atlas_2018	TCGA-28-5208-01	-0.5868
gbm_tcga_pan_can_atlas_2018	TCGA-28-5209-01	-1.4101
gbm_tcga_pan_can_atlas_2018	TCGA-28-5213-01	1.7002
gbm_tcga_pan_can_atlas_2018	TCGA-28-5215-01	-0.292
gbm_tcga_pan_can_atlas_2018	TCGA-28-5216-01	-0.0547
gbm_tcga_pan_can_atlas_2018	TCGA-28-5218-01	1.0307
gbm_tcga_pan_can_atlas_2018	TCGA-28-5220-01	1.0206
gbm_tcga_pan_can_atlas_2018	TCGA-32-1970-01	0.365
gbm_tcga_pan_can_atlas_2018	TCGA-32-1980-01	0.8199
gbm_tcga_pan_can_atlas_2018	TCGA-32-1982-01	0.4775
gbm_tcga_pan_can_atlas_2018	TCGA-32-2615-01	0.0035
gbm_tcga_pan_can_atlas_2018	TCGA-32-2616-01	-0.0255
gbm_tcga_pan_can_atlas_2018	TCGA-32-2632-01	1.6079
gbm_tcga_pan_can_atlas_2018	TCGA-32-2634-01	-0.9051
gbm_tcga_pan_can_atlas_2018	TCGA-32-2638-01	-0.9771
gbm_tcga_pan_can_atlas_2018	TCGA-32-4213-01	0.4739
gbm_tcga_pan_can_atlas_2018	TCGA-32-5222-01	0.0684
gbm_tcga_pan_can_atlas_2018	TCGA-41-2571-01	0.4202
gbm_tcga_pan_can_atlas_2018	TCGA-41-2572-01	0.5669
gbm_tcga_pan_can_atlas_2018	TCGA-41-3915-01	-0.135
gbm_tcga_pan_can_atlas_2018	TCGA-41-4097-01	0.2187
gbm_tcga_pan_can_atlas_2018	TCGA-41-5651-01	-1.5149
gbm_tcga_pan_can_atlas_2018	TCGA-76-4925-01	-1.6235
gbm_tcga_pan_can_atlas_2018	TCGA-76-4926-01	0.2731
gbm_tcga_pan_can_atlas_2018	TCGA-76-4928-01	-1.504
gbm_tcga_pan_can_atlas_2018	TCGA-76-4929-01	-1.0394
gbm_tcga_pan_can_atlas_2018	TCGA-76-4931-01	0.6463
